id,title,url,source_name,source_type,country,published_at,fetched_at,primary_category,categories,score,matched_keywords,deadline_at,summary
160,ミャンマー国籍の方の在留資格認定証明書の有効期間の延長について,https://www.moj.go.jp/isa/10_00229.html,出入国在留管理庁,page,,,2026-07-17T05:07:34.038160+00:00,ニュース（外国人・ビザ）,ニュース（外国人・ビザ）,4,在留資格,,Source page: https://www.moj.go.jp/isa/ / ミャンマー国籍の方の在留資格認定証明書の有効期間の延長について | 出入国在留管理庁 このページではJavaScriptを使用しています。
159,入国前結核スクリーニングについて,https://www.moj.go.jp/isa/10_00219.html,出入国在留管理庁,page,,,2026-07-17T05:07:34.038140+00:00,ニュース（外国人・ビザ）,ニュース（日本語教育）;ニュース（外国人・ビザ）;その他,11,留学生;在留資格;特定技能,,Source page: https://www.moj.go.jp/isa/ / ※２ ＪＥＴプログラム参加者、ＪＩＣＡ研修員（長期・短期）、ＪＩＣＡ人材育成奨学計画（ＪＤＳ）留学生、大使館推薦による国費留学生、外国人留学生の教育訓練の受託事業、当該国とのＥＰＡに基づく看護師・介護福祉士、特定技能外国人、特定活動告示第５５号（特定自動車運送業準備）、家事支援外 / 提出書類 入国前結核スクリーニングの対象となる方については、在留資格認定証明書交付申請の際に「結核非発病証明書」（写し及びスキャンデータを含む。 / （参考） 入国前結核スクリーニングの実施に関するガイドライン（令和７年３月３１日）…
158,在留資格「経営・管理」に係る上陸基準省令等の改正について,https://www.moj.go.jp/isa/applications/resources/10_00237.html,出入国在留管理庁,page,,,2026-07-17T05:07:34.038119+00:00,ニュース（外国人・ビザ）,ニュース（外国人・ビザ）,4,在留資格,,Source page: https://www.moj.go.jp/isa/ / 申請に関する取扱い １ 事業内容について 業務委託を行うなどして経営者としての活動実態が十分に認められない場合は、在留資格「経営・管理」に該当する活動を行うとは認められないものとして取り扱います。 / 法別表第一の在留資格をもって在留する外国人は対象になりません。 / （注１）ここで言う「常勤職員」の対象には、法別表第一の在留資格をもって在留する外国人も含まれます。
201,在留許可手数料の減額対象者のガイドライン（案）に関するパブリックコメントの実施について,https://www.moj.go.jp/isa/05_00055.html,出入国在留管理庁,page,,,2026-07-17T05:07:34.038093+00:00,ニュース（外国人・ビザ）,ニュース（外国人・ビザ）,4,在留資格,,Source page: https://www.moj.go.jp/isa/ / 在留許可手数料の減額対象者のガイドライン（案）について 在留資格の変更又は在留期間の更新の許可に係る手数料の減額対象者のガイドライン（案） 出入国管理及び難民認定法（昭和２６年政令第３１９号。 / 一 生活保護法（昭和二十五年法律第百四十四号）第六条第二項に規定する要保護者に準ずる程度に生活に困窮していると認められる者で、難民の認定又は補完的保護対象者の認定を受けている者その他の人道上の配慮をする必要があるもの 二 外交又は公用の在留資格への変更を受ける者 三 公用の在留資 / 本ガイドラインは、入管法施行令第２…
200,入管法施行令等の改正に関するパブリック・コメントの実施について,https://www.moj.go.jp/isa/applications/resources/10_00001.html,出入国在留管理庁,page,,,2026-07-17T05:07:34.038071+00:00,ニュース（外国人・ビザ）,ニュース（外国人・ビザ）,4,在留資格,,"Source page: https://www.moj.go.jp/isa/ / 答 在留資格の変更の許可又は在留期間の更新の許可を受ける方であって、３月を超える在留期間が決定される方が減額の対象者である場合には、その方に実際に納付していただく在留許可手数料を１万円まで減額することができることとしています。 / 許可 許可期間 申請方法 改定後の手数料 在留資格の変更の許可 在留期間の更新の許可 ３月以下 窓口 １０,０００円 オンライン ３月超６月以下 窓口 １８,０００円 オンライン １５,０００円 ６月超１年未満 窓口 ２５,０００円 オンライン ２１,０００円 １年 窓口 ３３, / …"
173,岐阜県外国人介護人材日本語学習支援事業費補助金,https://www.pref.gifu.lg.jp/page/131091.html,岐阜県 介護人材日本語補助金,page,,2026-04-01T00:00:00+00:00,2026-07-17T05:07:34.038052+00:00,公募・補助金・プロポーザル,公募・補助金・プロポーザル;ニュース（日本語教育）;ニュース（外国人・ビザ）;その他,22,補助金;補助;外国人介護人材;介護人材;特定技能;技能実習,2026-11-13,Source page: https://www.pref.gifu.lg.jp/page/131091.html / 1.事業概要 介護職種の外国人技能実習生又は介護分野における特定技能外国人（以下、「外国人介護人材」という。 / 4.補助対象経費 介護事業者が負担する外国人介護人材の日本語学習にかかる経費 ※詳細は「岐阜県外国人介護人材日本語学習支援事業費補助金交付要綱」をご確認ください。 / ※交付決定後に実施した事業、かつ支払ったものが補助対象となります。 / 定額が確認できる資料 等） ＜申請受付期間＞ 令和8年4月1日（水曜日）から令和8年11月13日（金曜日） ※予算額の上限に達し次第、募集を終了します。 ＜申請期限＞ 補助事業開始日の属する月の前月15日（15日が土日祝日等
177,令和８年度福岡県外国人介護人材確保強化事業費補助金,https://www.pref.fukuoka.lg.jp/contents/kakuhokyoka.html,福岡県 外国人介護補助金,page,,2026-07-14T00:00:00+00:00,2026-07-17T05:07:34.038027+00:00,公募・補助金・プロポーザル,公募・補助金・プロポーザル;ニュース（日本語教育）;その他,15,補助金;補助;外国人介護人材;介護人材,,Source page: https://www.pref.fukuoka.lg.jp/contents/kakuhokyoka.html / 5 補助対象経費 法人グループが行う、以下の事業とする。 / 採択に当たっては、高齢者地域包括ケア推進課において、応募要件に該当する旨を確認した後、「事業者選定委員会」が福岡県外国人介護人材確保強化事業費補助金事業者選定要領の審査基準に基づき、申請書等の審査を行い、選定する。 / ただし、（３）及び（４）の事業は必須とする。
170,令和7年度外国人材受入加速化支援事業に係る受託事業者の募集について,https://www.pref.osaka.lg.jp/hodo/fumin/o110010/prs_51017.html,大阪府 外国人材受入事業,page,,2026-03-31T00:00:00+00:00,2026-07-17T05:07:34.038003+00:00,公募・補助金・プロポーザル,公募・補助金・プロポーザル;ニュース（日本語教育）;ニュース（外国人・ビザ）;その他,14,公募;委託;留学生;外国人材,2026-03-31,"Source page: https://www.pref.osaka.lg.jp/hodo/fumin/o110010/prs_51017.html / 2.事業の趣旨・目的 大阪での就職を希望する外国人留学生や海外在住の外国人材、加えて、万博を契機として大阪に中長期滞在する外国人材を対象に、オンラインマッチングシステム等を活用して府内企業との就職マッチングの機会を提供するとともに、府内企業の採用者へのフォローアップを実施すること / 1.委託業務名 令和7年度外国人材受入加速化支援事業 / 本事業は、民間事業者の知識やノウハウ等を活用して効果的・効率的に実施するため、企画提案公募により受託事業者を募集します。 / 4.委託上限額 76,676,000円（税込） 5.履行期間 契約締結日から令和8年3月31日（月曜日）まで 6.スケジュール 令和7年2月18日（火曜日） 公募開始 令和7年2月25日（火曜日） 説明会開催 令和7年3月 "
168,令和８年度かながわ外国人材活用支援ステーション連携先事業者,https://www.kipc.or.jp/topics/information/kanastentry2026/,神奈川 外国人材活用支援,page,,,2026-07-17T05:07:34.037981+00:00,ニュース（外国人・ビザ）,ニュース（外国人・ビザ）;その他,3,外国人材,2026-03-27,Source page: https://www.kipc.or.jp/business-support/productivity/foreign-talent/ / 募集期間 2026年3月17日(火)～3月27日(金)17:00まで 募集終了 申込方法 かながわ外国人材活用支援ステーション連携先事業者登録要領 を確認の上、以下の申込書類をメールにて送付ください。 / 連携先事業者の役割 かながわ外国人材活用支援ステーション連携先事業者登録要領第2条によります。 / 申込書類 1 登録申込書（第1号様式） 2 登録要件確認書（第2号様式） 3 有料職業紹介事業許可証の写し 4 法人登記簿謄本の写し 5 人材紹介における手数料の額等がわかるもの（手数料表等） 6 会社概要や事業… / 。 また、必要に応じてヒアリングを行います。 募集期間 2026年3月17日(火)～3月27日(金)17:00まで 募集終了 申込方法 かながわ外国人材活用支援ステーション連携先事業者登録要領 を確認の上、以下の申込書類をメ
167,神奈川県高度外国人材受入支援補助金,https://www.pref.kanagawa.jp/docs/z4r/jinkaku_subsidy.html,神奈川 外国人材活用支援,page,,,2026-07-17T05:07:34.037960+00:00,公募・補助金・プロポーザル,公募・補助金・プロポーザル;ニュース（外国人・ビザ）;その他,19,公募;補助金;補助;外国人材;在留資格,2027-02-12,Source page: https://www.kipc.or.jp/business-support/productivity/foreign-talent/ / 本補助金は、在留資格認定の状況などにより、交付を受けられない場合があります。 / （チラシ）高度外国人材の受入れに関する補助金を利用していますか（PDF：433KB） 【モデルケース】（PDF：147KB） 申請する方の想定されるスケジュールです。 / 神奈川県高度外国人材受入支援補助金 神奈川県高度外国人材受入支援補助金のページです 1 神奈川県高度外国人材受入支援補助金とは 中小企業の高度外国人材(技術・人文知識・国際業務又は高度専門職)の採用手続きに係る初期経費に対する補助金です。 / るか判定の参考としてください。 2 公募期間 令和8年4月1日（水曜日）から令和9年2月12日（金曜日）まで （注記）申請は先着順で受け付け、予算額に達した時点で受付を終了します。 3 要綱・手引き 1 要綱（PDF：437
